image1,image2,label
Jean-Pierre_Raffarin/Jean-Pierre_Raffarin_0005.jpg,Intisar_Ajouri/Intisar_Ajouri_0002.jpg,0
Jim_Hahn/Jim_Hahn_0004.jpg,Robert_Bonner/Robert_Bonner_0002.jpg,0
Hal_Gehman/Hal_Gehman_0003.jpg,Makhdoom_Amin_Fahim/Makhdoom_Amin_Fahim_0003.jpg,0
Robert_Kocharian/Robert_Kocharian_0005.jpg,Gary_Carter/Gary_Carter_0002.jpg,0
George_W_Bush/George_W_Bush_0083.jpg,George_W_Bush/George_W_Bush_0003.jpg,1
Michael_Jackson/Michael_Jackson_0008.jpg,John_Warner/John_Warner_0002.jpg,0
Arnold_Schwarzenegger/Arnold_Schwarzenegger_0042.jpg,Colin_Farrell/Colin_Farrell_0009.jpg,0
Gray_Davis/Gray_Davis_0003.jpg,Gray_Davis/Gray_Davis_0020.jpg,1
Hector_Babenco/Hector_Babenco_0002.jpg,Carlos_Manuel_Pruneda/Carlos_Manuel_Pruneda_0001.jpg,0
Kirk_Johnson/Kirk_Johnson_0001.jpg,Howard_Dean/Howard_Dean_0010.jpg,0
Colin_Powell/Colin_Powell_0225.jpg,Colin_Powell/Colin_Powell_0121.jpg,1
Tony_Blair/Tony_Blair_0105.jpg,Tony_Blair/Tony_Blair_0027.jpg,1
Ariel_Sharon/Ariel_Sharon_0023.jpg,Ariel_Sharon/Ariel_Sharon_0005.jpg,1
Gregg_Popovich/Gregg_Popovich_0002.jpg,Gilberto_Rodriguez_Orejuela/Gilberto_Rodriguez_Orejuela_0002.jpg,0
Robert_Evans/Robert_Evans_0003.jpg,Carlos_Ruiz/Carlos_Ruiz_0003.jpg,0
Arnoldo_Aleman/Arnoldo_Aleman_0001.jpg,David_Beckham/David_Beckham_0003.jpg,0
George_Robertson/George_Robertson_0012.jpg,George_Robertson/George_Robertson_0020.jpg,1
Norm_Coleman/Norm_Coleman_0002.jpg,David_Anderson/David_Anderson_0005.jpg,0
Lynn_Redgrave/Lynn_Redgrave_0001.jpg,Jon_Voight/Jon_Voight_0002.jpg,0
Carrie-Anne_Moss/Carrie-Anne_Moss_0002.jpg,Akbar_Hashemi_Rafsanjani/Akbar_Hashemi_Rafsanjani_0003.jpg,0
Branko_Crvenkovski/Branko_Crvenkovski_0001.jpg,Scott_Peterson/Scott_Peterson_0002.jpg,0
Colin_Powell/Colin_Powell_0220.jpg,Colin_Powell/Colin_Powell_0117.jpg,1
Intisar_Ajouri/Intisar_Ajouri_0002.jpg,Juan_Carlos_Ferrero/Juan_Carlos_Ferrero_0018.jpg,0
Colin_Powell/Colin_Powell_0062.jpg,Colin_Powell/Colin_Powell_0098.jpg,1
Carly_Fiorina/Carly_Fiorina_0001.jpg,Carrie-Anne_Moss/Carrie-Anne_Moss_0002.jpg,0
Natalie_Coughlin/Natalie_Coughlin_0002.jpg,Alejandro_Toledo/Alejandro_Toledo_0007.jpg,0
Eduard_Shevardnadze/Eduard_Shevardnadze_0001.jpg,Mohammad_Khatami/Mohammad_Khatami_0001.jpg,0
Sarah_Hughes/Sarah_Hughes_0006.jpg,Paul_Martin/Paul_Martin_0005.jpg,0
George_W_Bush/George_W_Bush_0322.jpg,George_W_Bush/George_W_Bush_0011.jpg,1
George_W_Bush/George_W_Bush_0260.jpg,George_W_Bush/George_W_Bush_0015.jpg,1
George_W_Bush/George_W_Bush_0421.jpg,George_W_Bush/George_W_Bush_0235.jpg,1
Jack_Straw/Jack_Straw_0001.jpg,Jack_Straw/Jack_Straw_0023.jpg,1
George_W_Bush/George_W_Bush_0505.jpg,George_W_Bush/George_W_Bush_0188.jpg,1
